SYMBOL,NAME, Open Position Before Release ,, Current Day Release ,, Current Day Take-up ,, Markup Weighted  Average , Net Open Position ,,
,, Volume , Value , Volume , Value , Volume , Value ,, Volume , Value , % 
SNBL,SONERI BANK LIMITED," 112,500 "," 1,265,719 "," 9,500 "," 106,946 ", -   , -   , -   ," 103,000 "," 1,158,773 ", 0 
SNGP,SUI NORTHERN GAS PIPELINES LIMITED," 332,000 "," 7,460,892 "," 17,500 "," 366,090 "," 4,000 "," 72,480 ", 15 ," 318,500 "," 7,167,282 ", 1 
SPEL,SYNTHETIC PRODUCTS ENTERPRISES LIMITED," 53,500 "," 2,200,589 ", -   , -   ," 1,500 "," 47,936 ", 15 ," 55,000 "," 2,248,525 ", 0 
SPL,SITARA PEROXIDE LIMITED," 27,500 "," 258,675 ", -   , -   , -   , -   , -   ," 27,500 "," 258,675 ", 0 
SSGC,SUI SOUTHERN GAS COMPANY LIMITED," 208,500 "," 5,375,265 "," 29,000 "," 754,238 "," 94,000 "," 1,959,900 ", 15 ," 273,500 "," 6,580,928 ", 1 
STPL,SIDDIQSONS TIN PLATE LIMITED," 50,000 "," 322,000 ", -   , -   ," 2,500 "," 16,083 ", 15 ," 52,500 "," 338,083 ", 0 
SYS,SYSTEMS LIMITED," 39,000 "," 1,623,714 ", -   , -   , -   , -   , -   ," 39,000 "," 1,623,714 ", 0 
TGL,TARIQ GLASS INDUSTRIES LTD.," 11,000 "," 539,475 ", -   , -   , -   , -   , -   ," 11,000 "," 539,475 ", 0 
THALL,THAL LIMITED," 28,300 "," 5,142,263 ", -   , -   , -   , -   , -   ," 28,300 "," 5,142,263 ", 0 
TPL,TPL TRAKKER LIMITED," 2,514,500 "," 26,728,098 "," 328,500 "," 3,750,771 "," 73,500 "," 655,988 ", 15 ," 2,259,500 "," 23,633,315 ", 2 
TREET,TREET CORPORATION LIMITED," 159,300 "," 6,932,016 ", -   , -   ," 16,500 "," 614,295 ", 15 ," 175,800 "," 7,546,311 ", 1 
TRG,TRG PAKISTAN LIMITED  -  CLASS - (A)," 5,931,000 "," 146,225,808 "," 356,500 "," 7,350,983 "," 295,500 "," 5,768,899 ", 15 ," 5,870,000 "," 144,643,725 ", 14 
UBL,UNITED BANK LIMITED," 36,900 "," 4,277,156 ", -   , -   , -   , -   , -   ," 36,900 "," 4,277,156 ", 0 
UNIC,THE UNITED INSURANCE CO. OF PAKISTAN LTD," 2,000 "," 29,700 ", -   , -   , -   , -   , -   ," 2,000 "," 29,700 ", -   
ZTL,ZEPHYR TEXTILES LIMITED," 9,000 "," 24,264 ", -   , -   , -   , -   , -   ," 9,000 "," 24,264 ", -   
,," 41,157,270 "," 1,064,610,393 "," 1,702,500 "," 40,756,569 "," 1,156,290 "," 46,542,221 ",," 40,611,060 "," 1,070,396,045 ", 100 
